date	EQNR	DNB	TEL	YAR	GJF	MOWI	ORK	AKERBP	NHY	TOM
2019-09-12	0.1202096298722568	0.09295872355185564	-0.04228723404255308	0.03827629911280117	0.01168757126567832	-0.04630903255387431	-0.042870905587668595	0.06832831972496778	0.16736111111111107	0.036653386454183146
2019-09-13	0.12508059316569953	0.09280821917808235	-0.044172432144757856	0.023057644110275666	0.030051516886090424	-0.065137614678899	-0.04555367094741947	0.04583333333333339	0.1541315345699832	0.029458598726114893
2019-09-16	0.09085457271364317	0.06713193752077107	-0.01752966558791802	-0.023244312561819913	0.007554560716284353	-0.04981549815498165	-0.04622871046228705	0.09145129224652093	0.09540750323415259	0.011382113821138296
2019-09-17	0.0908534720097891	0.03655699567962789	0.01870985758168109	-0.03817733990147787	0.01319113106932357	-0.02363299351251169	-0.029268292682926855	0.052782324058919805	0.05562700964630207	0.034987794955248175
2019-09-18	0.08255216208043548	0.03950375448906285	0.05531914893617018	-0.0004985044865403188	0.017962391243334208	-0.005752636625119822	0.0004961548002975213	0.0458898643256187	0.040163162849074396	0.04706853839801828
2019-09-19	0.04664723032069973	0.05990180032733239	0.04664391353811137	-0.01474999999999993	0.03053435114503822	-0.0009732360097323145	0.0040010002500623365	0.04269486878182516	0.009963768115942129	0.030130293159609245
2019-09-20	0.03611349957007737	0.06677471636953003	0.030201342281878985	-0.0488997555012225	0.0391218688432311	0.01235154394299287	0.02024493876530875	0.03196881091617931	-0.02670971529204591	-0.053929121725732054
2019-09-23	0.047660818713450404	0.03395747381783565	0.01555123576784223	-0.069580078125	0.03663003663003672	0.028846153846153744	0.026925012581781482	0.043443282381335324	-0.003866745984532849	-0.08455034588777866
2019-09-24	0.01690544412607453	-0.014102162331557477	0.0206013363028954	-0.0700636942675158	0.028063350930814135	0.02158979391560334	0.048489464331048504	0.018326693227091573	-0.044418468731735716	-0.05413766434648115
2019-09-25	-0.0439802089059923	-0.023980068514481645	0.0027449903925336194	-0.04177215189873418	0.0005554012774229289	0.007766990291262044	0.06326530612244885	-0.1009107468123861	-0.046648951874815436	-0.029742765273311877
2019-09-26	-0.024677509814918674	0.007694773966014923	0.004111842105263053	-0.01869398207426376	0.003601108033240985	-0.013763644992880741	0.05276381909547734	-0.04858142246404973	-0.012183978068839418	-0.04009433962264153
2019-09-27	-0.025977653631284903	0.001570351758793942	-0.019086021505376416	-0.03216957605985027	-0.0013785497656465528	0.011571841851494735	0.022315893875526793	-0.06524227394124393	-0.013574660633484004	-0.04022082018927442
2019-09-30	-0.035933147632311924	-0.010191476219888806	-0.00788043478260858	-0.005836082212636429	-0.010425240054869667	0.022406234778373113	0.03063511830635135	-0.08564988730277978	-0.0433482810164425	-0.03952569169960474
2019-10-01	-0.03568464730290455	-0.023397143725311542	-0.004071661237785018	0.010282776349614497	-0.02654387865655472	-0.02815579540122004	0.03968642822145996	-0.07971288250850017	-0.04463208685162834	-0.030944625407166138
2019-10-02	-0.0552609545073961	-0.050951503990178115	-0.01859447634673228	0.013644712673838821	-0.03778200597988579	-0.047663551401869064	0.02303357020338148	-0.07787201233616037	-0.07912809793968356	-0.027707808564231717
2019-10-03	-0.06903353057199213	-0.0346471710108075	-0.014729950900163713	0.00026343519494198553	-0.04297297297297287	-0.018251681075888482	0.006779661016949268	-0.0919405320813772	-0.0822629969418961	-0.08503679476696646
2019-10-04	-0.03766532489936747	-0.03318442884492656	-0.006843690117711465	0.00739762219286666	0.004440743824590587	0.00674373795761074	0.02855086372360849	-0.035251215559157334	-0.05791266646020432	-0.027340513670256805
2019-10-07	-0.03018976423231745	-0.0127266942411709	0.00436800436800433	0.012787056367432159	0.011592602815346353	0.026948989412896918	0.035560859188544125	0.004084967320261423	-0.03854455750847985	-0.06060606060606055
2019-10-08	-0.04731861198738174	-0.03919724051426776	-0.0002740476842969519	-0.015717598557072998	0.009663169519602333	0.003336510962821615	0.04778074217802586	-0.020408163265306145	-0.06024464831804288	-0.09449465899753495
2019-10-09	-0.04882981797168462	-0.043681747269890825	0.010682004930156141	-0.013527309851965263	0.009703354588300517	0.0076226774654597484	0.03189946834219426	-0.005751848808545623	-0.0234375	-0.12921810699588476
2019-10-10	-0.03528399311531849	-0.022713130056004838	-0.017715998909784703	-0.010687022900763288	0.006956037840845752	0.024625784645099014	0.005890669180018904	0.008210180623973828	0.0006313131313131493	-0.11764705882352944
2019-10-11	0.009158050221565794	0.034605433376455386	0.009194761772081339	0.013719906808180138	0.033615819209039444	0.03336604514229635	0.015808383233532952	0.046404682274247655	0.027237354085603016	-0.10103626943005184
2019-10-14	0.010895883777239712	0.03621995390187682	-0.001384274640088612	0.010271266789570799	0.025981361197401798	0.015166340508806275	0.009139009139009113	0.04868591124515298	0.04131956014661764	-0.07774798927613946
2019-10-15	-0.003884075291305633	0.04851485148514856	-0.010474090407938341	0.017046944662995056	-0.0027631942525560005	0.014354066985645897	-0.013529274550967973	0.0529189416211675	0.03780407626561466	-0.09454855195911416
2019-10-16	-0.00919063148532473	0.044150821785369	-0.018483283500951186	-0.0123679464055656	-0.026466575716234675	0.04404873477038418	-0.03618345240838905	0.005288852725793269	0.022450288646568284	-0.09677419354838712
